username,comments,story
erica_kendall,13,yes
joepark89,7,yes
diarieswithvivo...,7,yes
angeralee,13,yes
deer.bunny,3,yes
garywu22,1,no
rachelban,7,yes
i_hahm,26,no
chyanchyan98,10,no
iamsamshao,7,no
youny.co,5,yes
elizabeth_banh,9,yes
cravingswithkia,8,no
ashleykkwan,11,no
lean.cuisine_,6,yes
sharynkim,4,yes
danielleee_lam,4,no
ms_cyndicate,2,no
jenfoodadventures,21,no
golfwangdon,7,no
kianaamw,5,no
aybqii,8,yes
saraphinaaw,9,no
cho0427,2,yes
jasmiinezhu,2,no
kanglikeslife,1,no
jordantu_,1,no
predsel,16,no
kimysally,14,no
yoocrankthatsouljaboy,3,yes
jennayylim,7,yes
ngorangie,3,yes
ray.hs.lee,1,yes
_cyootv,3,yes
stews_thebeef,11,no
gerro_a,2,no
edwardparko,1,yes
kimdoeats,14,yes
_kristine.lee,8,no
foodin_saigonseattle,11,yes
heyyu_jackie,15,no
karinasubii,11,no
mikayoon10,30,yes
yunahkang,3,yes
yunjeekang,2,yes
kathleenwiddit,6,no
seattle.scrumptious,7,yes
taylor_unoki,8,yes
kat.co,2,yes
shellysmetz,66,yes
yoona.an.chang,5,no
seatown_eats,6,no
eatswitherinn,27,yes
pharmer_yen,9,yes
cbo_valdez,19,no
quynhnie27,22,no
ouitsfood,7,no
stephaniemiau,8,yes
daniel_miau,1,no
crispysodium,4,yes
ktellsfooddiary,3,yes
mrfoodyee,11,yes
candielee97,0,yes
fairlyfoodie,0,yes
lammylol,4,yes
